dominio,dificultad,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
iam,basico,Un equipo necesita visualizar recursos de un proyecto sin modificarlos. Que rol conviene asignar?,roles/owner,roles/editor,roles/viewer,roles/billing.admin,C,roles/viewer permite ver recursos sin otorgar permisos de modificacion. Es mas seguro que usar roles amplios como Owner o Editor.
compute,basico,Necesitas crear una VM para pruebas temporales con bajo costo. Que opcion puede ayudar a reducir costos?,Usar una VM Spot,Usar una IP estatica premium,Usar discos regionales siempre,Usar una cuenta de facturacion separada,A,Las Spot VMs pueden reducir costos para cargas tolerantes a interrupciones.
storage,basico,Quieres almacenar archivos accedidos frecuentemente. Que clase de Cloud Storage conviene?,Archive,Coldline,Nearline,Standard,D,Standard es adecuada para datos de acceso frecuente.
networking,intermedio,Una aplicacion en una VM privada necesita salir a internet para actualizaciones sin exponer IP publica. Que servicio usarias?,Cloud NAT,Cloud DNS,Cloud CDN,Cloud Armor,A,Cloud NAT permite salida a internet desde recursos privados sin asignar IP publica externa.
operations,intermedio,Quieres recibir una notificacion cuando el uso de CPU de una VM supere un umbral. Que servicio usarias?,Cloud Monitoring,Cloud Storage,Cloud Build,Cloud Deploy,A,Cloud Monitoring permite crear politicas de alerta basadas en metricas de recursos.
run,intermedio,Necesitas desplegar una API containerizada sin administrar servidores. Que servicio es mas directo?,Compute Engine,Cloud Run,Cloud SQL,Cloud DNS,B,Cloud Run permite ejecutar contenedores serverless y escalar automaticamente segun demanda.
gke,intermedio,Quieres menos administracion de nodos en Kubernetes. Que modo de GKE conviene evaluar?,GKE Autopilot,GKE Standard obligatorio,Compute Engine unmanaged,Cloud Functions,A,GKE Autopilot reduce la responsabilidad de administrar nodos y simplifica la operacion.
billing,basico,"Para controlar costos y recibir avisos cuando se supera un umbral, que configurarias?",Budget and alerts,Firewall rule,Cloud NAT,Snapshot schedule,A,Los presupuestos y alertas ayudan a monitorear gasto y recibir notificaciones.
iam,intermedio,Una aplicacion en una VM necesita acceder a Cloud Storage. Que practica es recomendable?,Usar credenciales personales hardcodeadas,Asignar una service account con permisos minimos,Dar Owner al usuario administrador,Compartir una clave en el repositorio,B,Lo recomendado es usar service accounts con roles minimos necesarios y evitar credenciales hardcodeadas.
operations,intermedio,Quieres guardar logs en BigQuery para analisis posterior. Que componente puede enrutar logs?,Log Router,Cloud NAT,VPC Peering,Cloud CDN,A,"Log Router permite enrutar logs hacia destinos como BigQuery, Cloud Storage o Pub/Sub."
